,1989年1月,1989年2月,1989年3月,1989年4月,1989年5月,1989年6月,1989年7月,1989年8月,1989年9月,1989年10月,1989年11月,1989年12月,1990年1月,1990年2月,1990年3月,1990年4月,1990年5月,1990年6月,1990年7月,1990年8月,1990年9月,1990年10月,1990年11月,1990年12月,1991年1月,1991年2月,1991年3月,1991年4月,1991年5月,1991年6月,1991年7月,1991年8月,1991年9月,1991年10月,1991年11月,1991年12月,1992年1月,1992年2月,1992年3月,1992年4月,1992年5月,1992年6月,1992年7月,1992年8月,1992年9月,1992年10月,1992年11月,1992年12月,1993年1月,1993年2月,1993年3月,1993年4月,1993年5月,1993年6月,1993年7月,1993年8月,1993年9月,1993年10月,1993年11月,1993年12月,1994年1月,1994年2月,1994年3月,1994年4月,1994年5月,1994年6月,1994年7月,1994年8月,1994年9月,1994年10月,1994年11月,1994年12月,1995年1月,1995年2月,1995年3月,1995年4月,1995年5月,1995年6月,1995年7月,1995年8月,1995年9月,1995年10月,1995年11月,1995年12月,1996年1月,1996年2月,1996年3月,1996年4月,1996年5月,1996年6月,1996年7月,1996年8月,1996年9月,1996年10月,1996年11月,1996年12月,1997年1月,1997年2月,1997年3月,1997年4月,1997年5月,1997年6月,1997年7月,1997年8月,1997年9月,1997年10月,1997年11月,1997年12月,1998年1月,1998年2月,1998年3月,1998年4月,1998年5月,1998年6月,1998年7月,1998年8月,1998年9月,1998年10月,1998年11月,1998年12月,1999年1月,1999年2月,1999年3月,1999年4月,1999年5月,1999年6月,1999年7月,1999年8月,1999年9月,1999年10月,1999年11月,1999年12月,2000年1月,2000年2月,2000年3月,2000年4月,2000年5月,2000年6月,2000年7月,2000年8月,2000年9月,2000年10月,2000年11月,2000年12月,2001年1月,2001年2月,2001年3月,2001年4月,2001年5月,2001年6月,2001年7月,2001年8月,2001年9月,2001年10月,2001年11月,2001年12月,2002年1月,2002年2月,2002年3月,2002年4月,2002年5月,2002年6月,2002年7月,2002年8月,2002年9月,2002年10月,2002年11月,2002年12月,2003年1月,2003年2月,2003年3月,2003年4月,2003年5月,2003年6月,2003年7月,2003年8月,2003年9月,2003年10月,2003年11月,2003年12月,2004年1月,2004年2月,2004年3月,2004年4月,2004年5月,2004年6月,2004年7月,2004年8月,2004年9月,2004年10月,2004年11月,2004年12月,2005年1月,2005年2月,2005年3月,2005年4月,2005年5月,2005年6月,2005年7月,2005年8月,2005年9月,2005年10月,2005年11月,2005年12月,2006年1月,2006年2月,2006年3月,2006年4月,2006年5月,2006年6月,2006年7月,2006年8月,2006年9月,2006年10月,2006年11月,2006年12月,2007年1月,2007年2月,2007年3月,2007年4月,2007年5月,2007年6月,2007年7月,2007年8月,2007年9月,2007年10月,2007年11月,2007年12月,2008年1月,2008年2月,2008年3月,2008年4月,2008年5月,2008年6月,2008年7月,2008年8月,2008年9月,2008年10月,2008年11月,2008年12月,2009年1月,2009年2月,2009年3月,2009年4月,2009年5月,2009年6月,2009年7月,2009年8月,2009年9月,2009年10月,2009年11月,2009年12月,2010年1月,2010年2月,2010年3月,2010年4月,2010年5月,2010年6月,2010年7月,2010年8月,2010年9月,2010年10月,2010年11月,2010年12月,2011年1月,2011年2月,2011年3月,2011年4月,2011年5月,2011年6月,2011年7月,2011年8月,2011年9月,2011年10月,2011年11月,2011年12月,2012年1月,2012年2月,2012年3月,2012年4月,2012年5月,2012年6月,2012年7月,2012年8月,2012年9月,2012年10月,2012年11月,2012年12月,2013年1月,2013年2月,2013年3月,2013年4月,2013年5月,2013年6月,2013年7月,2013年8月,2013年9月,2013年10月,2013年11月,2013年12月,2014年1月,2014年2月,2014年3月,2014年4月,2014年5月,2014年6月,2014年7月,2014年8月,2014年9月,2014年10月,2014年11月,2014年12月,2015年1月,2015年2月,2015年3月,2015年4月,2015年5月,2015年6月,2015年7月,2015年8月,2015年9月,2015年10月,2015年11月,2015年12月,2016年1月,2016年2月,2016年3月
アンモニア系肥料製造業,69885,60644,63045,66525,70107,64210,64834,56211,55684,66982,61516,64057,61345,50860,56404,56456,57855,57455,57777,51888,56167,63953,58591,61382,60692,57083,55426,56009,60309,62553,57034,52022,50956,59912,58235,59428,54608,54615,54832,52875,56708,55153,52067,45381,48908,57686,55959,60146,56368,49675,50613,50874,51925,48844,47879,44369,41476,53328,50329,54871,53296,41510,48317,44805,48291,48859,51472,47032,48200,57166,55047,58414,56273,53016,56056,52201,54665,53114,51406,45607,46412,53494,51607,55404,58782,53142,53528,49113,52736,51643,50314,46517,40593,56645,53193,57428,53709,50193,56002,51330,56448,57968,55822,46630,48663,62473,60262,57542,59899,50472,51545,54443,58081,52814,50294,40464,34757,47328,48027,52754,50877,45397,45278,47312,49932,51576,44553,45294,45693,52438,50502,55178,53218,49280,52622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
石灰窒素製造業・電炉工業,128226,79603,86124,100019,98582,85710,88561,84034,58584,103404,101249,131280,144052,75242,74273,57721,61373,59950,57853,83583,61965,66604,77418,95169,104780,81568,73238,60522,72499,59786,44676,57066,52321,67499,80958,78686,92538,82692,69426,51954,48988,47875,33141,52434,62300,72791,78129,70986,74306,51492,72976,57711,58583,47846,17598,31334,45899,56786,54839,62505,74163,59393,60933,40392,48319,54795,61069,62699,72412,82538,72359,77171,80032,78226,74417,51886,57753,57151,62099,56837,39737,68175,72191,92710,94921,86334,70922,56803,66014,61064,39002,38662,43392,63480,60612,70794,76811,66462,57472,41566,54131,50310,35907,52445,46397,78608,85353,79883,77719,63687,52781,40749,55655,55401,38426,25558,22396,32188,59998,71122,71836,63028,46619,37740,43080,37381,47271,39679,30459,51593,57589,71870,64267,71586,70638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ソーダ工業,393445,349703,375920,379703,417369,403752,373592,347056,355635,391780,386006,403149,397905,340697,372535,369821,411782,419632,363422,336499,356309,407055,400350,405786,407067,358026,393130,393733,427763,413223,360519,317883,339929,387775,373438,374708,375028,344991,361566,363732,420383,386931,344834,329257,346620,386274,379607,376338,382185,333179,346800,358520,398116,387925,337823,308635,322493,390105,355917,344650,353415,308721,321333,346922,391749,379324,358009,314937,346392,382772,363817,371058,369060,312081,355826,374027,418038,381975,353434,321475,339367,369924,356868,368242,378596,336803,368757,363197,409526,380941,338774,315487,328714,390637,370608,385390,390750,332040,389601,400650,428791,410033,364686,343885,352744,402876,394110,395078,403947,345661,358815,353069,405851,382123,324059,321311,337481,385602,359685,373275,376429,318177,332932,353765,393048,358042,320021,314225,349126,415767,378919,403344,375440,343553,358061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
石油化学系基礎製品製造業,442016,384258,425647,452222,475777,466477,439199,483045,466605,517940,477338,481078,487369,407715,455317,472729,523272,491197,507908,511716,492211,511427,479589,495914,519995,447800,477867,517822,553398,535141,513403,523380,499750,544181,501501,530021,529921,473002,470273,484328,520135,527918,496115,473438,415972,463963,425062,426313,409837,381663,409810,459117,518122,473469,383598,408029,360989,403983,389891,369065,355028,336811,375775,446594,483295,435923,420148,418943,410306,440938,381792,402216,394850,352763,430171,463494,463495,437451,376195,419866,378735,426438,399867,402608,412967,385766,415467,455514,472745,435483,406444,424410,393633,443846,402656,434135,445439,407695,460898,501444,520506,489996,410953,438568,391969,471643,429241,421441,425943,385141,432860,474077,465461,405893,397192,409841,393393,448053,411070,389357,382836,333855,369739,419528,434100,396086,357782,406780,380631,438454,411765,389361,360085,336467,401888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
化学繊維製造業,197431,166910,184502,201076,222133,208895,212203,214778,210577,223229,212147,211891,219559,183035,202103,219292,231553,233641,235669,239737,226166,224101,228961,225766,225733,193855,216560,232183,252827,237740,235009,234223,219505,222429,225015,216839,209713,195318,209308,227953,236213,225652,231815,230413,217396,231833,222140,209679,200826,183334,199307,203517,218782,205745,194010,206494,189542,207819,191263,167996,163788,159533,167530,193256,211978,194763,211306,205636,184917,208248,205889,184612,186483,164685,192688,207361,227606,198456,185713,195587,173328,189505,172746,159851,166747,154721,169843,184219,204050,193608,186220,193207,180528,201085,181191,174589,157388,146446,178672,204190,208935,202004,191136,196274,181021,212221,193220,172847,156307,139656,159104,187945,218323,177867,177254,186572,172854,194902,184536,173219,163183,136735,163067,188925,205758,186461,174633,183702,182073,209227,186106,173071,169242,154162,165644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,911887,920418,998751,969859,962796,1033241,1063478,1013404,1064107,1041880,1016792,984157,930363,946839,1020717,993670,994631,1082826,1121437,1042439,1097382,1098351,1062010,1020911,957563,985704,1061190,1039727,1027786,1126410,1139771,1008435,1073613,1076544,1043974,989971,959502,988002,1023335,999732,989909,1097116,1108828,997198,1091842,1075665,1030325,975299,931671,942804,1016560,977564,982719,1088350,1075214,956622,1045013,1043731,1026552,962467,920686,926692,998938,978279,974378,1091484,1125983,1020477,1101389,1080062,1041229,997803,932888,972124,1052384,1010662,1016347,1085238,1114727,1046027,1067088,1058654,1018421,992080,936919,994006,1037952,1014773,1003245,1101496,1157538,1048334,1086857,1093602,1057983,1024311,994015,1011317,1076734,1071424,1085342,1165751,1198375,1092940,1170213,1149813,1085060,1041815,1015967,1002844,1072109,1080690,1068279,1166097,1191482,1082601,1159756,1167385,1077068,1061751,996283,1008867,1084490,1048785,1046666,1173073,1167633,1109942,1204560,1161872,1102547,1065546,1008182,1054941,1097020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
化学工業計,2142890,1961536,2133989,2169404,2246764,2262285,2241867,2198528,2211192,2345215,2255048,2275612,2240593,2004388,2181349,2169689,2280466,2344701,2344066,2265862,2290200,2371491,2306919,2304928,2275830,2124036,2277411,2299996,2394582,2434853,2350412,2193009,2236074,2358340,2283121,2249653,2221310,2138620,2188740,2180574,2272336,2340645,2266800,2128121,2183038,2288212,2191222,2118761,2055193,1942147,2096066,2107303,2228247,2252179,2056122,1955483,2005412,2155752,2068791,1961554,1920376,1832660,1972826,2050248,2158010,2205148,2227987,2069724,2163616,2251724,2120133,2091274,2019586,1932895,2161542,2159631,2237904,2213385,2143574,2085399,2044667,2166190,2071700,2070895,2048932,2010772,2116469,2123619,2208316,2224235,2178292,2066617,2073717,2249295,2126243,2146647,2118112,2014153,2219379,2270604,2354153,2376062,2256879,2170742,2191007,2377634,2247246,2168606,2139782,1987461,2127214,2190973,2271650,2240195,2178707,2066347,2120637,2275458,2140384,2121478,2041444,1906059,2042125,2096055,2172584,2202619,2111893,2099622,2192542,2329351,2187428,2158370,2030434,2009989,2145873,2116548,2219246,2216581,2224149,2142549,2176861,2318529,2187052,2147071,2091771,1968783,2105464,2090244,2151610,2169711,2147793,2050685,2042585,2176535,2043045,1994239,1896449,1793907,1912592,2013837,2105652,2216920,2241315,2149231,2174976,2241430,2128606,2140712,2091380,1959008,2187550,2183036,2185144,2239158,2167234,2098661,2189045,2251228,2208315,2129062,2099436,2047628,2125972,2225702,2293131,2328982,2343567,2216608,2210378,2310979,2228690,2252376,2194456,2052892,2225876,2221574,2251724,2296947,2326339,2254858,2338973,2460166,2333956,2362522,2352520,2182195,2320602,2297705,2371100,2503519,2487907,2429937,2437777,2595579,2474776,2459919,2429134,2283283,2496275,2517298,2503104,2591870,2601856,2571064,2610777,2733239,2640499,2662315,2591809,2568260,2691875,2631110,2599340,2730898,2777333,2686468,2724486,2739511,2547176,2270092,1979562,1794449,1875570,1983307,2005169,2099231,2178013,2170590,2200391,2343226,2314642,2263394,2228456,2082236,2209347,2232304,2269810,2351843,2435683,2413890,2405504,2445766,2335595,2381893,2370149,2217952,2060476,2117549,2293778,2399862,2351504,2279136,2251081,2367486,2285631,2200634,2182720,2094704,2179630,2217953,2181722,2224356,2254104,2242191,2287133,2277418,2156995,2113289,2091150,1994726,2127193,2141664,2191459,2286154,2264997,2225458,2168204,2292657,2224875,2216059,2149791,2014795,2220615,2151852,2135473,2195598,2243615,2210237,2193797,2234868,2279255,2160559,2117575,1998949,2173792,2119755,2060883,2117020,2246991,2198851,2119962,2184398,2063279,2066571,2078254,2010283,2047184
石油製品，石炭製品製造業,204952,187116,193665,196796,172417,160851,197288,199775,187657,188172,185505,184147,173802,160435,195135,183496,187576,189178,187459,216399,214011,217846,202953,204788,193760,184584,204016,192752,188336,179987,198967,211438,203068,218488,214603,205777,200153,184804,200954,187633,180563,191032,198222,228661,204286,208176,198558,193743,195146,184944,208494,198595,202276,195687,221423,228402,219515,249894,232102,219107,211947,196935,220800,217863,215061,208466,235963,246520,212520,240642,222228,224945,224964,233743,207804,192964,196805,196309,238116,252855,228874,234796,229902,220981,211914,219849,218728,203119,212858,211027,237248,259139,227063,240983,209785,217351,211326,189784,188108,184583,182438,175670,192083,201780,188512,177417,168662,151069,152294,144016,132940,142222,161822,150124,150563,135744,122997,138746,115484,114530,104590,95290,103232,107240,134646,114179,113765,120782,117751,138837,124194,126253,101439,102285,103693,108402,128043,141216,130714,121338,113498,153248,133290,119451,115585,102367,118375,127835,145589,122802,124530,123188,115591,155627,114036,108830,112612,102169,108814,115034,136814,131826,114718,122041,114240,137709,105289,115524,122045,110893,120322,122401,149085,114665,101577,112174,107671,136801,107692,114595,108188,100663,106607,116419,131424,136129,116472,135399,124398,130521,139653,115596,105440,116896,115923,110764,110933,146898,123636,136128,126798,136982,128473,128588,125988,103518,122949,125326,145641,158246,120379,142624,117096,133907,160399,117133,129684,120165,130805,124449,156060,156658,124927,147305,137908,125060,152537,139086,139506,136493,171564,177327,170201,204999,173029,187634,155804,178091,166417,151393,116327,108271,114309,114995,141055,148184,158095,157191,141293,150394,144407,144120,160194,153900,157145,149670,166801,201556,189991,190167,164377,187483,181767,173032,172088,159017,174967,187242,177504,185224,183312,177392,154086,167785,183765,189754,173825,172829,178266,167290,183585,183228,186885,178884,149587,194649,182559,178792,182942,173308,206367,189101,191319,184068,190500,182243,173704,182639,177730,195130,186571,174433,196156,195374,215280,193849,198277,207906,188058,190431,184746,206687,196946,172665,187024,194129,191711,208272,222996,213483,174893,159098,165905,196491,182254,155316,157084
ゴム製品製造業,243038,252304,279611,264232,255599,280358,294985,263986,288747,280070,277665,266638,254016,269223,291933,278620,265525,295733,317575,273270,305132,307053,291201,279835,267746,285006,301078,283751,267598,298837,329517,274368,312445,310124,296709,282468,273330,289907,303207,282844,264575,301274,326116,269092,312752,300998,290059,272895,262092,278263,302808,270233,254441,292420,305536,254192,296255,274773,275065,247225,245743,260678,282529,258910,241520,290762,314384,267880,307336,291686,288483,275245,258059,276325,301426,278287,257569,293117,312842,273992,297085,289947,284780,274443,257582,280881,284107,269036,255823,284710,318947,265861,296832,293723,285827,275440,268631,277638,293220,280410,269216,301707,330821,275595,312943,301918,288264,277167,266391,276892,289847,276217,259765,297209,319856,266890,312385,299884,283345,274790,256412,274459,294717,270974,255476,295997,315073,271994,321343,300536,289486,282821,262284,293925,302370,280963,262275,306089,328429,288641,317443,303755,293136,276154,264769,282484,300256,283610,263214,301810,332617,286217,308211,302994,284545,268331,260022,276320,290329,280620,272288,303466,340528,292956,319470,314472,299319,293731,282344,291863,309949,294066,283937,314444,333273,288180,322255,309524,292080,289295,274940,291300,308509,290714,282756,320434,336718,286682,313892,299638,287185,271636,261333,277316,299128,280564,261375,306900,314185,275120,307627,286273,278627,271071,247333,263020,280534,271378,259266,294571,311334,278714,300531,294173,280152,266140,246028,257740,276158,255863,249931,288432,303864,275542,303558,301578,280253,265002,254367,275603,279184,273246,267103,295934,321691,270596,301070,294415,260355,223963,204765,185561,191011,190146,197089,230326,255578,225468,254037,249736,238846,228516,224568,230447,255837,240323,232009,274396,291101,259298,284673,270444,255213,243139,235741,243293,231943,226884,232367,268337,281104,250893,273020,269735,255480,227699,227701,242334,253798,241100,231428,258448,270787,236071,254190,248606,231970,211550,212120,222924,238691,233017,231730,253498,271735,235598,253065,263926,238035,225641,222079,227059,242465,230729,228899,257363,270516,230102,252164,260585,234713,227543,221999,225653,239119,228393,222183,250104,258971,220799,237716,242438,224076,204611,206117,213267,224245
窯業・土石製品製造業,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
セメント製造業,383766,463131,479447,433622,429991,455263,430272,409617,448095,503284,512040,533839,413087,451030,519980,448659,476236,487548,475492,470116,484823,527516,510205,561631,453019,487285,559907,488931,500751,494636,456286,449656,466459,509731,515922,547070,409019,473687,537028,464032,507984,513659,448641,449832,463782,524672,523677,537818,408070,443028,512278,463908,469701,463840,404705,410151,432074,501876,491510,521015,384117,433626,497185,449293,449032,491410,438052,400792,442349,502192,493167,513731,404326,430503,487588,445772,444136,461861,403232,395662,436427,502606,493323,516255,404669,469345,507649,433287,428436,466079,408754,367494,421624,460046,462987,506308,366218,398970,458407,372259,389522,403729,351996,334571,326780,354309,366188,359241,266791,321583,335706,276275,320196,332958,279012,255740,275856,306856,310316,342906,265734,299741,307780,253118,278687,301580,270552,234772,251727,296725,295368,323309,253346,300306,304135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,657865,649814,716208,690594,684679,702319,724198,698556,718586,735968,734850,733947,703100,692378,760601,729054,725854,754198,768582,724327,751814,781097,757630,756517,736247,741123,794742,765077,745749,779802,813080,729682,760273,776355,762215,748398,714736,732562,765050,723044,708593,751128,762047,696375,747089,759901,742161,733389,701958,707303,770526,721543,698148,738919,746919,690646,738574,745480,741419,732123,690772,695253,765104,704044,687079,737299,758263,720208,752601,761717,752160,750272,707647,724001,786519,740394,718972,761460,761232,717958,740059,762134,755783,752697,713887,753737,783286,748369,725337,765415,794914,733944,761123,791596,778619,777695,734228,740316,793565,745444,731951,766032,785741,721585,761912,781726,754478,734512,713717,705598,737636,698069,680915,716247,726139,667255,715573,725166,693599,694707,659637,665252,707232,657101,643380,689714,698580,665959,709073,726627,713171,720360,677008,707755,738797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
窯業・土石製品製造業計,1041631,1112945,1195655,1124216,1114670,1157582,1154470,1108173,1166681,1239252,1246890,1267786,1116187,1143408,1280581,1177713,1202090,1241746,1244074,1194443,1236637,1308613,1267835,1318148,1189266,1228408,1354649,1254008,1246500,1274438,1269366,1179338,1226732,1286086,1278137,1295468,1123755,1206249,1302078,1187076,1216577,1264787,1210688,1146207,1210871,1284573,1265838,1271207,1110028,1150331,1282804,1185451,1167849,1202759,1151624,1100797,1170648,1247356,1232929,1253138,1074889,1128879,1262289,1153337,1136111,1228709,1196315,1121000,1194950,1263909,1245327,1264003,1111973,1154504,1274107,1186166,1163108,1223321,1164464,1113620,1176486,1264740,1249106,1268952,1118556,1223082,1290935,1181656,1153773,1231494,1203668,1101438,1182747,1251642,1241606,1284003,1100446,1139286,1251972,1117703,1121473,1169761,1137737,1056156,1088692,1136035,1120666,1093753,980508,1027181,1073342,974344,1001111,1049205,1005151,922995,991429,1032022,1003915,1037613,925371,964993,1015012,910219,922067,991294,969132,900731,960800,1023352,1008539,1043669,930354,1008061,1042932,965552,962815,1033780,993530,929964,992983,1023941,1012691,1038376,955046,957014,1008273,938649,923733,991973,957119,860770,934542,957650,943439,962036,866156,890767,947833,879788,898231,950407,927169,846206,909260,961288,982159,967968,868222,884212,951533,892710,887672,934960,914534,836125,905855,949512,944509,936854,863189,911977,942750,869261,883846,919099,915472,836555,877931,919992,905833,926456,874635,875641,922794,880149,853634,921304,925623,843847,905740,963734,959218,980087,914109,902678,976670,945713,951209,981122,980254,909351,953033,1015963,1013867,1039580,980923,974795,1060977,1001714,979530,1026278,1003207,950842,994094,1021631,1026077,1036334,978158,1008486,1051372,989907,996204,1034275,1024425,960744,1009640,1066735,1021946,952708,831644,747455,790518,758236,789107,813633,835261,793284,846201,907282,909798,914298,884599,875580,949515,926460,944412,973901,976344,928481,951262,1003908,988451,982112,971721,937663,962116,937553,944636,983407,976857,921770,942312,992546,965906,966699,930616,938042,978371,968206,949907,967938,950894,880764,930071,951319,926230,925555,893288,866116,934061,888971,918203,935884,927965,848005,868663,920190,895010,894181,863894,833715,915887,861470,930657,928498,882221,815276,847370,890747,878469,866365,840680,810875,869769,808658,832811,852424,854491,793786,813040,864976,849255,831013,801690,796518,821991
鉄鋼業,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高炉による製鉄業,557701,533087,616138,630902,602556,552318,575144,622387,589357,675809,693109,631458,611783,514510,510300,514754,600546,522929,555611,611739,611512,717957,706255,627493,681081,647709,720905,800122,732647,710855,622935,627354,647209,793937,704274,679096,587983,528365,551944,614453,662633,568335,534834,576338,555148,621784,663748,625311,603045,540016,647116,700455,704238,703254,481850,508915,498206,534261,472297,505933,460963,420982,427473,509459,543179,506310,508403,562257,539410,570425,605543,523393,544830,557967,622911,633904,668632,517059,464044,455826,437517,467140,427875,416449,401997,381300,423641,423188,537281,419990,339066,383023,345546,436107,443370,372735,403391,371608,381660,424346,492377,453711,389395,459342,414650,472998,494211,385837,392702,372619,377705,450513,462155,367362,337684,428346,372082,390820,382242,323133,323606,324451,322103,366719,435041,399575,397576,449346,458079,520466,482300,460081,478359,423796,448675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,2528663,2491217,2755168,2696645,2713134,2787757,2693281,2442712,2632550,2813733,2738872,2754524,2583388,2559674,2781742,2770840,2791736,2878634,2759054,2538466,2768226,2977984,2905979,2928445,2722480,2751769,2986332,2895835,2890127,2937951,2754707,2525015,2705211,2823264,2668830,2592931,2448169,2523261,2625214,2588192,2611150,2687181,2580378,2391021,2556256,2738834,2702340,2635936,2524229,2544307,2709243,2618529,2669210,2726795,2649553,2373664,2567244,2678355,2583012,2517837,2346178,2413391,2598413,2500565,2581809,2636945,2581944,2399385,2659437,2894484,2834221,2792053,2588681,2674427,2951015,2794858,2788939,2813487,2749075,2477870,2623989,2806370,2758386,2743428,2581058,2648277,2813967,2729263,2770384,2809306,2660355,2481252,2763230,2884256,2890221,2860262,2674966,2700917,2980969,2884673,2926152,2903559,2782326,2606752,2831005,2916110,2872521,2767413,2616277,2528952,2661694,2596821,2654583,2599397,2457960,2230992,2456751,2532605,2499951,2426123,2257457,2259677,2417255,2397506,2467348,2475929,2352382,2241118,2415928,2573439,2534299,2492717,2364388,2452417,2586724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
